;Bolo Az FWHM El FWHM Az OFF  El OFF   Gain        Gain Error  Sensitivity  Mean El
;    (arcsec) (arcsec) (arcsec) (arcsec) (mJy/nW)  mJy/nW)     (mJy s^(1/2))  deg. 
;**********************************************************************************
h4b19 8.21426 8.76570 53.2107 11.3870 -5.29874e+07 3.28305e+06 1.00000 64.396046
h4b20 7.94159 10.1764 33.5580 10.0975 -5.08098e+07 3.30187e+06 1.00000 64.396046
h4b21 8.27385 9.49457 19.3035 1.15616 -5.05084e+07 3.08351e+06 1.00000 64.396046
h4b22 7.90168 9.71910 40.5550 47.5996 -5.68596e+07 4.17535e+06 1.00000 64.396046
h4b23 8.20492 8.56160 18.4687 18.5059 -4.84478e+07 2.99931e+06 1.00000 64.396046
h4b24 7.84369 10.5968 23.0719 27.6765 -5.39857e+07 3.58488e+06 1.00000 64.396046
h5b1 8.17324 8.38838 50.8054 -34.3795 -5.62074e+07 3.88664e+06 1.00000 64.396046
h5b2
h5b3
h5b4 8.02813 10.3258 35.7217 -25.5556 -5.13749e+07 3.08272e+06 1.00000 64.396046
h5b5 7.75657 9.53714 40.2551 -16.6401 -6.03245e+07 3.76043e+06 1.00000 64.396046
h5b6 8.19796 9.48604 54.6466 -6.97184 -5.03913e+07 3.10821e+06 1.00000 64.396046
h5b7 7.93908 9.08348 50.2021 -16.3098 -6.31232e+07 4.22094e+06 1.00000 64.396046
h5b8 7.84328 9.39916 20.2699 -16.7496 -5.54696e+07 3.49596e+06 1.00000 64.396046
h5b9 8.00677 10.1203 45.4692 -25.1942 -5.02360e+07 3.09745e+06 1.00000 64.396046
h5b10 8.29063 9.98020 26.0661 -44.2568 -5.84470e+07 3.63811e+06 1.00000 64.396046
h5b11 8.32503 9.29411 30.9203 -34.8065 -6.04354e+07 3.75538e+06 1.00000 64.396046
h5b12 8.40247 9.31315 15.4780 -25.8296 -4.51195e+07 2.78398e+06 1.00000 64.396046
h5b13 7.95369 9.25933 30.2328 -16.9921 -5.80690e+07 3.78422e+06 1.00000 64.396046
h5b14 8.55167 8.89317 14.7372 -8.10175 -4.95677e+07 3.06270e+06 1.00000 64.396046
h5b15 7.89588 9.75575 44.5975 -7.30800 -5.11350e+07 3.26595e+06 1.00000 64.396046
h5b16
h5b17 7.83690 9.57392 55.3203 -25.0431 -5.55325e+07 3.60408e+06 1.00000 64.396046
h5b18
h5b19
h5b20 8.10126 9.53223 25.7904 -25.6161 -5.14208e+07 3.27053e+06 1.00000 64.396046
h5b21 8.98355 9.51387 9.98396 -16.6656 -5.40494e+07 3.48480e+06 1.00000 64.396046
